,suite_name,suite_id,exp_name,run,rep,host_type,host_idx,factor_columns,source_file,cmd,cpsnark,model,num_verifier_reps,pc_type,$CMD$.small,Prover time,Verifier time,Proof size,$CMD$.medium,$CMD$.large,file,error
11,model-small,1725369940,exp_kzg,7,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poly,resnet18,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],102.30182586s,"[10.016835ms, 9.140858ms, 9.377383ms, 9.897331ms, 9.258253ms]",14912,,,,
0,model-mobilenet,1725371439,exp_ipa_mobilenet_poseidon,0,0,medium,0,[],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code,poseidon,mobilenet,5,ipa,,4847.986192021s,"[7.004351781s, 6.969419376s, 7.178581779s, 6.980642653s, 7.024822845s]",23264,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code'}],,,
0,model-mobilenet,1725371439,exp_ipa_mobilenet_others,1,0,medium,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code,poly,mobilenet,5,ipa,,1628.428873917s,"[14.835508162s, 14.765693535s, 14.735954311s, 14.82710435s, 14.725490985s]",19776,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code'}],,,
1,model-mobilenet,1725371439,exp_ipa_mobilenet_others,0,0,medium,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code,no_com,mobilenet,5,ipa,,1499.525448059s,"[3.568485496s, 3.553909194s, 3.557234114s, 3.554168756s, 3.55886572s]",19360,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code'}],,,
0,model-mobilenet,1725371439,exp_kzg_mobilenet_poseidon,0,0,medium,0,[],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code,poseidon,mobilenet,5,kzg,,4914.402142393s,"[19.099011ms, 17.274964ms, 17.389158ms, 17.304044ms, 18.42639ms]",21472,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code'}],,,
0,model-mobilenet,1725371439,exp_kzg_mobilenet_others,2,0,medium,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code,poly,mobilenet,5,kzg,,1598.829372568s,"[17.458444ms, 15.517103ms, 17.124781ms, 16.431326ms, 16.774667ms]",18144,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg poly 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code'}],,,
1,model-mobilenet,1725371439,exp_kzg_mobilenet_others,1,0,medium,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code,cp_link+,mobilenet,5,kzg,,1522.790531322s,"[24.122057ms, 24.838023ms, 25.720654ms, 25.773478ms, 24.733207ms]",17760,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg cp_link+ 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code'}],,,
2,model-mobilenet,1725371439,exp_kzg_mobilenet_others,0,0,medium,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code,no_com,mobilenet,5,kzg,,1514.588682766s,"[17.321427ms, 16.719277ms, 16.409957ms, 16.731832ms, 16.90699ms]",17664,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code/src/bin/test.zsh mobilenet kzg no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-mobilenet/code'}],,,
0,cplink,1725423229,exp_kzg_mobilenet_others,0,0,medium,0,['cpsnark'],output.csv,/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh mobilenet kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code,cp_link,mobilenet,5,kzg,,8072.193707495s,"[2.990556075s, 2.989941842s, 2.989773613s, 2.990114212s, 2.989869549s]",17664,[{'main': '/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh mobilenet kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code'}],,,
0,cplink,1725423229,exp_kzg_diffusion_cp_link,0,0,large,0,[],output.csv,/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh diffusion kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code,cp_link,diffusion,5,kzg,,18413.075954764s,"[9.819481287s, 9.815798481s, 9.815709619s, 9.815392246s, 9.81669372s]",16288,,[{'main': '/home/ubuntu/doe-suite/osiris_nku/cplink/code/src/bin/test.zsh diffusion kzg cp_link 5 /home/ubuntu/doe-suite/osiris_nku/cplink/code'}],,
